high_formula,high_mpid,low_formula,low_mpid,avg_voltage,battery_id
Mg(Fe5O8)2,mp-773318,LiMg(Fe5O8)2,mp-773699,2.319186220000011,mp-773318_Li
Li2Mn3(BO3)3,mp-777250,Li5Mn6(BO3)6,mp-853270,3.9874613750000116,mp-777250_Li
LiMn3(BO3)3,mp-850071,Li2Mn3(BO3)3,mp-850952,3.3979699449999976,mp-780111_Li
LiMn3(BO3)3,mp-850096,Li2Mn3(BO3)3,mp-850881,3.6341920549999904,mp-850096_Li
Li2Mn3(BO3)3,mp-853213,Li5Mn6(BO3)6,mp-851014,3.506276729999984,mp-851014_Li
LiMn3(BO3)3,mp-781682,Li2Mn3(BO3)3,mp-780135,3.4530249950000047,mp-780135_Li
Li3Mn4(BO3)4,mp-777784,Li5Mn6(BO3)6,mp-769439,2.858185810000069,mp-769439_Li
VPHO5,mp-1101197,LiVPHO5,mp-767213,3.492407715000011,mp-1101197_Li
V(GeO3)2,mp-775220,LiV(GeO3)2,mp-566658,3.4532681950000117,mp-566658_Li
LiV2P4(HO8)2,mp-780941,LiVP2HO8,mp-780110,4.45742636499998,mp-1176514_Li
MnSn(PO4)2,mp-775753,Li2MnSn(PO4)2,mp-861541,2.6050080049999997,mp-775753_Li
Mn3Sn(PO4)6,mp-778517,Li6Mn3Sn(PO4)6,mp-776839,4.12797232333333,mp-776839_Li
Mn7Sn(PO4)12,mp-778765,Li8Mn7Sn(PO4)12,mp-1176895,4.826910993749996,mp-1176895_Li
Mn3Sn(PO4)4,mp-775053,Li4Mn3Sn(PO4)4,mp-767327,3.2164875574999927,mp-767327_Li
Mn5Sn(PO4)6,mp-774344,Li4Mn5Sn(PO4)6,mp-853140,3.3551227249999918,mp-774344_Li
Li4TiFe5O12,mp-770656,Li6TiFe5O12,mp-868572,3.7320962099999995,mp-770656_Li
Li2TiFe3O8,mp-772368,Li3TiFe3O8,mp-764006,3.4578632699999954,mp-764006_Li
Li3TiFe3O8,mp-762693,Li4TiFe3O8,mp-1177243,2.8435739499999975,mp-1177243_Li
Li3TiFe3O8,mp-769966,Li4TiFe3O8,mp-769962,2.5035529600000124,mp-769962_Li
Li4Ti2Fe5O12,mp-762689,Li5Ti2Fe5O12,mp-771453,2.590647314999989,mp-762689_Li
Li2Ti(FeO3)2,mp-762684,Li3Ti(FeO3)2,mp-775407,2.281886336666664,mp-762684_Li
LiTiFe2O5,mp-762709,Li2TiFe2O5,mp-775791,2.563664194999992,mp-762709_Li
Li2Ti2Fe3O10,mp-762700,Li3Ti2Fe3O10,mp-762694,3.9178518700000255,mp-1177123_Li
Li4Ti3(FeO4)3,mp-762695,Li2TiFeO4,mp-772244,2.584381275000006,mp-762695_Li
TiFeO4,mp-773534,Li2TiFeO4,mp-1177839,3.065606335000003,mp-1177839_Li
LiTiFeO4,mp-774090,Li2TiFeO4,mp-765697,2.0881390350000024,mp-762701_Li
Ti12Fe5O32,mp-773987,Li7Ti12Fe5O32,mp-774059,3.2944555600000016,mp-773987_Li
Mn(Si2O5)2,mp-1043728,LiMn(Si2O5)2,mp-850492,5.090030152499982,mp-1043728_Li
Li3MnSi2O7,mp-767274,Li4MnSi2O7,mp-761517,4.024399149999999,mp-761517_Li
Mn(SiO3)2,mp-1142713,LiMn(SiO3)2,mp-767360,4.084753575000013,mp-1142713_Li
Li2Mn2Si3O10,mp-767853,Li4Mn2Si3O10,mp-761598,3.458359772499994,mp-761598_Li
Mn2Si2O7,mp-767344,Li2Mn2Si2O7,mp-859137,3.2004558549999986,mp-767344_Li
Mn3Si3O10,mp-861566,Li2Mn3Si3O10,mp-767709,3.3052140899999976,mp-767709_Li
Mn4Si4O13,mp-767874,Li2Mn4Si4O13,mp-861609,3.4666096674999998,mp-767874_Li
Li3Mn2(SiO4)2,mp-767982,Li2MnSiO4,mp-849394,4.276848660000018,mp-767982_Li
Li3Mn2(SiO4)2,mp-1177629,Li2MnSiO4,mp-566680,4.375956639999975,mp-1177629_Li
Li3Mn2(SiO4)2,mp-780287,Li2MnSiO4,mp-849238,4.207431134999984,mp-780287_Li
Li3Mn2(SiO4)2,mp-769538,Li2MnSiO4,mp-763876,4.430978774999977,mp-763876_Li
Li3Mn2(SiO4)2,mp-769543,Li2MnSiO4,mp-783909,4.1369154200000136,mp-769543_Li
Li3Mn2(SiO4)2,mp-1177640,Li2MnSiO4,mp-780833,4.132062119999977,mp-1177640_Li
Li3Mn2(SiO4)2,mp-774171,Li2MnSiO4,mp-780918,4.177115099999986,mp-774171_Li
Li3Mn2(SiO4)2,mp-774356,Li2MnSiO4,mp-775454,4.200211905000009,mp-774356_Li
Li3Mn2(SiO4)2,mp-778631,Li2MnSiO4,mp-768020,4.028838624999997,mp-768020_Li
Mn5(Si2O7)2,mp-767346,Li2Mn5(Si2O7)2,mp-761381,3.3481301449999896,mp-761381_Li
Li7NbO6,mp-37399,Li8NbO6,mp-774697,0.1624464799999905,mp-37399_Li
NbO2,mp-25214,LiNb2O4,mp-758673,3.3469911550000027,mp-25214_Li
Li17Nb20O60,mp-686160,LiNbO3,mp-3731,4.972718640000034,mp-3731_Li
LiFe(Si2O5)3,mp-775750,Li2Fe(Si2O5)3,mp-775303,4.8040091275000005,mp-766714_Li
Li17Fe6(Si2O7)6,mp-763810,Li3FeSi2O7,mp-997543,4.7693337800000215,mp-763810_Li
Li3Fe4(Si3O10)2,mp-779820,Li2Fe2Si3O10,mp-767726,4.7238929300000105,mp-1177108_Li
LiFe(SiO3)2,mp-778685,Li2Fe(SiO3)2,mp-767964,2.8989844899999944,mp-767964_Li
Fe(SiO3)2,mp-25523,LiFe(SiO3)2,mp-510708,4.976141470000007,mp-25523_Li
Fe(SiO3)2,mvc-12198,LiFe(SiO3)2,mp-761767,4.781831555000002,mvc-12198_Li
Li9Fe4(SiO5)4,mp-762768,Li3FeSiO5,mp-764341,4.806395369999976,mp-762768_Li
LiFe2Si2O7,mp-780866,Li2Fe2Si2O7,mp-762613,2.603936437500001,mp-762613_Li
